2000         | 0.131
4000         | 0.546
6000         | 1.215
8000         | 2.208
10000        | 3.459
12000        | 4.962
14000        | 6.722
16000        | 8.731
18000        | 11.256
20000        | 14.23
22000        | 16.543
24000        | 20.653
26000        | 24.459
28000        | 28.692
30000        | 32.943
