50000        | 0.07713
100000       | 0.17334
150000       | 0.27489
200000       | 0.37709
250000       | 0.4871
300000       | 0.59829
350000       | 0.73355
400000       | 0.92162
450000       | 0.97311
500000       | 1.23021
550000       | 1.28441
600000       | 1.36192
650000       | 1.54936
700000       | 1.77007
750000       | 1.85844
800000       | 2.00373
850000       | 2.1652
900000       | 2.27647
950000       | 2.37425
1000000      | 2.46835
1050000      | 2.5332
1100000      | 2.67494
1150000      | 2.82882
1200000      | 2.96757
